	cell	pear_coeff	p_val	group
0	DU4475	0.17818727286864638	8.045275347604329e-129	null
1	HCC1937	0.19327366741452753	1.2125180927533444e-148	null
2	EFM19	0.1632908532826515	9.695164568907188e-111	null
3	CAL51	0.3145303705324118	0.0	null
4	HCC1419	0.13892460404422133	2.7343295842477674e-84	null
5	BT549	0.17254496243328818	8.450823010231015e-122	null
6	AU565	0.21072067571076972	1.679585680203424e-173	null
7	HCC1428	0.23797035767321625	1.3401324761253031e-216	null
8	HCC1395	0.2831921296881083	3.4660900738093605e-300	null
9	HCC1954	0.25667447835506496	2.6822397971344586e-249	null
10	KPL1	0.2995825093402946	0.0	null
11	MDAMB415	0.2186835265481197	1.502367247989041e-185	null
12	MDAMB157	0.22187831139932807	1.6490059944910243e-190	null
13	JIMT1	0.10356886950877078	1.2633184127759723e-52	null
14	MDAMB231	0.04994278070997611	2.9223150482043033e-19	null
15	HCC1806	0.07612960047417444	2.208373697734708e-33	null
16	CAMA1	0.07184609664341822	8.614474805655075e-31	null
17	MDAMB436	0.09872668255673123	6.791330861619907e-49	null
18	HCC202	0.0604006024146031	2.0788879423118193e-24	null
19	SKBR3	0.11965207058067531	4.6654341892873345e-66	null
20	HS578T	0.11250867232200834	6.816413736799877e-60	null
21	MDAMB453	0.15021202606269718	4.582533089851546e-96	null
22	ZR751	0.2161096241467727	1.31832661694846e-181	null
23	HMC18	0.28912845040469104	2.4937160937e-312	null
24	MDAMB468	0.28775487820109835	1.703969020395565e-309	null
25	HCC1143	0.28863286496872487	2.6382331237535e-311	null
0	AU565	0.3048098876214264	2.0362027501360108e-289	non-null
1	BT549	0.19170475602508408	2.1541667711306374e-112	non-null
2	CAL51	0.14010026358238006	2.163235731139627e-60	non-null
3	CAMA1	0.2827212030042863	1.4384924526084606e-247	non-null
4	DU4475	0.2252209190169627	1.7684717011746563e-155	non-null
5	EFM19	0.2524369880928828	4.050011561062156e-196	non-null
6	HCC1143	0.2966791344272935	1.4077353394296359e-273	non-null
7	HCC1395	0.24267296405241234	6.086413804850957e-181	non-null
8	HCC1419	0.2797985376425942	2.6162461652013213e-242	non-null
9	HCC1428	0.26497035767321625	1.3401324761253031e-216	non-null
10	HCC1806	0.30449009480627287	8.740280343578223e-289	non-null
11	HCC1937	0.30823051123884676	3.0980157541606884e-296	non-null
12	HCC1954	0.25282090022159903	9.92839087252186e-197	non-null
13	HCC202	0.2515990966000762	8.63762206109355e-195	non-null
14	HMC18	0.21117473802985195	1.667979597492938e-136	non-null
15	HS578T	0.11920677911683596	4.239604302619334e-44	non-null
16	JIMT1	0.29083326443645907	1.6676368426335016e-262	non-null
17	KPL1	0.22457847723213487	1.3956535355910443e-154	non-null
18	MDAMB157	0.2706379548196224	3.1026374207569072e-226	non-null
19	MDAMB231	0.14462551127080525	2.8194230987703823e-64	non-null
20	MDAMB415	0.2531844759953362	2.6162196083188865e-197	non-null
21	MDAMB436	0.1511854483575338	3.899870957755762e-70	non-null
22	MDAMB453	0.28701593491366745	2.053459630848991e-255	non-null
23	MDAMB468	0.14030522013855082	1.4518017659461822e-60	non-null
24	SKBR3	0.30085625695003576	1.188557277115798e-281	non-null
25	ZR751	0.3141427299472094	3.089551478315433e-308	non-null
