	ks_d	ks_p	ks_p_log	n	np_t_w	np_t_w_null	t-statistic	t_real	tissue	tt_p	tt_p_log	tt_s
3	0.08679913739987677	4.88788809560855e-43	42.31087874548564	60	0.12195533996690233	-0.07993736236158659	14.452149787453298	0.12195533996690233	breast	3.704650679273054e-47	46.431252736461	14.452149787453298
7	0.07212182061579653	1.6462224182442338e-27	26.783511488388356	36	0.12934205960425807	-0.014213499175729038	10.322190425906387	0.12934205960425807	kidney	6.310147141614297e-25	24.19996051364872	10.322190425906387
2	0.11772287862513431	1.3853487004016872e-28	27.85844089836871	29	0.17154199323054475	-0.02784014456879581	8.356273903426963	0.17154199323054475	bone	7.401367726272867e-17	16.13068801796006	8.356273903426963
0	0.04761904761904767	1.8264658889029917e-07	6.7383884342648415	17	-0.06428049881311396	0.05396996899463966	6.427317251958605	0.06428049881311396	autonomic_ganglia	1.34011034053774e-10	9.87285944169951	6.427317251958605
20	0.03218041302419866	0.0005462733305231729	3.2625900015526836	33	0.019557221804718455	-0.0694983206365478	5.0998948259287475	0.019557221804718455	upper_aerodigestive_tract	3.437777536268188e-07	6.463722230585884	5.0998948259287475
11	0.040087145969498916	2.992198090672494e-05	4.524009658522071	27	-0.04168401129626562	0.03714250052202542	4.413885439246464	0.04168401129626562	oesophagus	1.0230422345550641e-05	4.990106436810234	4.413885439246464
1	0.08241252302025781	7.020061415385615e-07	6.153659088404895	8	-0.11595762701660625	0.04481849140828982	4.260132126129847		biliary_tract	2.086330834473262e-05	4.680616823333385	-4.260132126129847
15	0.1295843520782396	1.8253865720865942e-06	5.738645148552312	8	-0.11733756829901514	0.1588775904231796	4.078152536615002		prostate	4.757928109131734e-05	4.322582124308686	-4.078152536615002
16	0.04071041402375741	1.0884150122678573e-06	5.963205476723107	62	0.07579106431795618	0.01850015542918187	3.5625859068833283	0.07579106431795618	skin	0.0003682046082606611	3.433910780390254	3.5625859068833283
6	0.034430685593476285	1.4771584700071092e-05	4.830572910945434	181	0.006418866924365666	-0.042997719676528455	3.2037882905515427	0.006418866924365666	haematopoietic_and_lymphoid_tissue	0.0013584622618318502	2.86695242180688	3.2037882905515427
21	0.040213178294573604	0.002433889901054257	2.6136990713179777	28	0.025911012714962933	-0.040542936768240445	2.777131084463609	0.025911012714962933	urinary_tract	0.005496477801546413	2.259915521662543	2.777131084463609
8	0.036593754299078296	0.00011390213605841303	3.9434681313231548	62	-0.0365143510696159	-0.08455286368470885	2.7291797253142542	0.0365143510696159	large_intestine	0.00635684661554519	2.1967582675416986	2.7291797253142542
12	0.017604192254155437	0.044890219673020086	1.3478482693466871	52	-0.06580009446441346	-0.029379413982038177	2.657860476559978	0.06580009446441346	ovary	0.00786896383224271	2.1040824508131903	2.657860476559978
4	0.042503097893432484	8.817607270729701e-07	6.054649248212488	69	-0.0839373374133049	-0.041440236766474306	2.501599785569069	0.0839373374133049	central_nervous_system	0.01237318216380376	1.9075185931394525	2.501599785569069
9	0.04630681818181814	0.001008740608867123	2.996220495428408	28	0.06311854714171551	0.007763223951426628	2.1033355610468942	0.06311854714171551	liver	0.03547185023709219	1.4501161578262762	2.1033355610468942
18	0.019939493949394926	0.10970735822455586	0.9597642427156176	38	0.003132263651943871	0.03893875962049525	2.062797725742058	0.003132263651943871	stomach	0.03914956454141453	1.4072730642142761	2.062797725742058
17	0.033157894736842164	0.24307385199951245	0.6142617566774139	21	-0.04139222508640605	0.028323626603023826	1.9652354832222045	0.04139222508640605	soft_tissue	0.04945975980883412	1.30574799703156	1.9652354832222045
10	0.028560188827694732	6.092930691506297e-05	4.21517376204746	187	-0.007351997566704049	-0.028314024413868155	1.4777692537299005	0.007351997566704049	lung	0.13948194087650073	0.8554820180920908	1.4777692537299005
14	0.021545979564637885	0.24428079871669328	0.6121106686758224	11	0.0017282761027261	-0.02691764542906847	1.2277502578231818		pleura	0.2195728359106915	0.6584213889204835	1.2277502578231818
13	0.027022174342400618	0.0005716250702486219	3.2428887322395807	46	-0.0009342417429257611	0.010579510248949731	0.8425894925586611	0.0009342417429257611	pancreas	0.3994671160114752	0.3985189658432572	0.8425894925586611
19	0.03456090651558075	0.23826703201130767	0.622936044963952	12	-0.07928563012689277	-0.10949765830637112	0.7007049078250418		thyroid	0.4835334009695299	0.3155735208452277	0.7007049078250418
5	0.017842437551468526	0.6041841911690682	0.21883064248190517	28	0.010871596212926184	0.003738173022547044	0.29066973040423016	0.010871596212926184	endometrium	0.7713121993567349	0.11276979962228953	0.29066973040423016
