		bait:prey	cnv	exp	np_p_w	t-statistic
289461	known	BCL2:BIRC3	BCL2	BIRC3	0.7746480604053532	1.3088116601622712
360079	known	BCL2:C1S	BCL2	C1S	0.4470148204744525	0.2457334936200839
526373	known	BCL2:CD9	BCL2	CD9	0.35907139643864616	1.9446009761783887
565099	known	BCL2:CDKN1A	BCL2	CDKN1A	0.11086114009952047	-0.6014259848646619
1061587	known	ADORA2B:EMP1	ADORA2B	EMP1	0.21603445291206366	-0.23439691326194767
1098151	known	BCL2:ERBB2	BCL2	ERBB2	0.12096856435496812	2.5946581749267463
1132196	known	ADAM9:F2RL1	ADAM9	F2RL1	0.16509020206707764	2.429202836624294
1132690	known	DSG2:F2RL1	DSG2	F2RL1	0.16731569914934188	2.4216730110504487
1225719	known	BCL2:FGF2	BCL2	FGF2	0.3632129932319338	0.09147778402500217
1430749	known	BMP1:GNG12	BMP1	GNG12	0.006914409005719559	-1.786464019484566
1463000	known	DSG2:GPRC5A	DSG2	GPRC5A	0.002838848103199468	4.166284663158241
1530971	known	BCL2:HERC5	BCL2	HERC5	0.11279161585142733	2.6433080247084018
1638681	known	HRAS:IFI6	HRAS	IFI6	0.5232303415274657	1.662893953117822
1656229	known	ATM:IGFBP3	ATM	IGFBP3	0.6385240007491836	0.5469614114447228
1656276	known	BRCA1:IGFBP3	BRCA1	IGFBP3	0.8536546267439473	0.8344554237176467
1663360	known	CTSB:IGFBP6	CTSB	IGFBP6	0.0720332570679908	-0.8334104008703918
1702465	known	HRAS:IL8	HRAS	IL8	0.3898662678775633	0.14963212477076382
1740422	known	ADAM9:ITGA2	ADAM9	ITGA2	0.7622706783157961	1.3240929197686984
1793585	known	HRAS:KCTD12	HRAS	KCTD12	0.8805103513331696	0.8686628614297318
1817971	known	ATP2C2:KIT	ATP2C2	KIT	0.18027851422148447	2.442759655933556
1818099	known	CACNA2D2:KIT	CACNA2D2	KIT	0.9222153355859264	0.9202827489138988
1818264	known	CTSB:KIT	CTSB	KIT	0.24598772479598274	2.2397581218362803
1818388	known	EGR3:KIT	EGR3	KIT	0.99242455472975	1.0296942203671187
1818419	known	ERMP1:KIT	ERMP1	KIT	0.27473684501296397	-0.12448773109133993
1841423	known	HRAS:KLK8	HRAS	KLK8	0.9500671561934324	0.9562456171307897
1879874	known	DSG2:KRT80	DSG2	KRT80	0.30758417207475114	-0.012005901668662888
1973547	known	HRAS:LIPG	HRAS	LIPG	0.5128852771411823	0.3543573577566259
2087447	known	HRAS:LOXL2	HRAS	LOXL2	0.09797222690476498	-0.6918966386633416
2128451	known	HRAS:LTBP2	HRAS	LTBP2	0.9627289999783816	0.9730209739349936
2148953	known	HRAS:LY96	HRAS	LY96	0.5600654546956949	0.42902988547930465
2192235	known	HRAS:MATN2	HRAS	MATN2	0.1870640903049156	2.3569333153521277
2221968	known	KLF5:MET	KLF5	MET	0.8150750870820949	0.7848536326980933
2251463	known	HRAS:MID1	HRAS	MID1	0.5714108577359187	1.5899726776561205
2274243	known	HRAS:MMEL1	HRAS	MMEL1	0.18042061272215712	2.3773548135451774
2301579	known	HRAS:MSLN	HRAS	MSLN	0.7749304180075202	1.3218329117726841
2333471	known	HRAS:MX1	HRAS	MX1	0.41541349334594935	1.8471308995709463
2376753	known	HRAS:NDN	HRAS	NDN	0.1038457292778227	-0.7400217506740423
2420035	known	HRAS:NMI	HRAS	NMI	0.42514033138220864	1.8238550108157632
2442815	known	HRAS:NPNT	HRAS	NPNT	0.7382866093330316	0.6830478196991385
2457967	known	ABR:NRAS	ABR	NRAS	0.023778088060797647	-1.3064282452494163
2457993	known	ADAMDEC1:NRAS	ADAMDEC1	NRAS	0.2974594228606004	2.072055129138273
2458066	known	ARID1B:NRAS	ARID1B	NRAS	0.9775157019447016	1.0483144989552966
2458117	known	BCL2:NRAS	BCL2	NRAS	0.8076112676974391	0.7752936008698239
2458183	known	C18orf54:NRAS	C18orf54	NRAS	0.6994590265443155	0.6318880326941338
2458217	known	CACNA2D2:NRAS	CACNA2D2	NRAS	0.6835514972679267	1.4298306654427593
2458228	known	CBL:NRAS	CBL	NRAS	0.016768215633984705	-1.448422697030959
2458266	known	CD226:NRAS	CD226	NRAS	0.7091850617180804	0.6450754006489121
2458270	known	CDC16:NRAS	CDC16	NRAS	0.7586967981662806	0.7112461007282489
2458271	known	CDC37L1:NRAS	CDC37L1	NRAS	0.7298143759929858	0.6728317934995272
2458272	known	CDC73:NRAS	CDC73	NRAS	0.07079092272922173	-0.8232000312153982
2458328	known	CLDN10:NRAS	CLDN10	NRAS	0.9699178408370516	1.0578865675663827
2458339	known	CLU:NRAS	CLU	NRAS	0.2974594228606041	2.0720551291382687
2458348	known	CNTNAP1:NRAS	CNTNAP1	NRAS	0.2699105417778862	-0.09471193869775285
2458354	known	COPS3:NRAS	COPS3	NRAS	0.00730910313359223	-1.7679106306216252
2458364	known	CRELD2:NRAS	CRELD2	NRAS	0.16773567628606212	-0.3783135087396783
2458380	known	CTNS:NRAS	CTNS	NRAS	0.016735435210835897	-1.4492041787131047
2458382	known	CTSB:NRAS	CTSB	NRAS	0.3087575921927408	2.0475175043299787
2458385	known	CUL5:NRAS	CUL5	NRAS	0.10921485443804267	-0.6086179813199466
2458388	known	CXCL16:NRAS	CXCL16	NRAS	0.016735435210835897	-1.4492041787131047
2458394	known	CYLD:NRAS	CYLD	NRAS	0.038484672270703305	3.141509149974314
2458397	known	DACH1:NRAS	DACH1	NRAS	0.4087687634963535	1.8525443337619185
2458408	known	DDX52:NRAS	DDX52	NRAS	0.633984497624999	0.5411582158363211
2458416	known	DEFA5:NRAS	DEFA5	NRAS	0.1898826999779884	2.347639045242032
2458436	known	DHRS7C:NRAS	DHRS7C	NRAS	0.034847389004870166	-1.1447264337736516
2458437	known	DHX30:NRAS	DHX30	NRAS	0.7592158528319906	1.32806793421179
2458439	known	DHX38:NRAS	DHX38	NRAS	0.605342378103713	1.53977831400652
2458443	known	DIS3:NRAS	DIS3	NRAS	0.4087687634963535	1.8525443337619185
2458444	known	DIXDC1:NRAS	DIXDC1	NRAS	0.056276312079412284	-0.9308145787134499
2458449	known	DLEU2:NRAS	DLEU2	NRAS	0.6559566307794051	1.4679844559293687
2458453	known	DLG4:NRAS	DLG4	NRAS	0.01833526942453147	-1.4125822948894253
2458464	known	DNAJC11:NRAS	DNAJC11	NRAS	0.4707198619338625	0.29358223092729874
2458468	known	DOCK5:NRAS	DOCK5	NRAS	0.31815525647664056	2.0275686191748825
2458473	known	DPH1:NRAS	DPH1	NRAS	0.016735435210835897	-1.4492041787131047
2458480	known	DSC1:NRAS	DSC1	NRAS	0.250239896943242	-0.14226268083643512
2458491	known	DUSP22:NRAS	DUSP22	NRAS	0.21441329588630487	2.2763051575097526
