SFE_1,SFE_2,int_type,freq_1,freq_2,n_1,n_2,overlap_ratio,direction,FDR* < 0.1,EIS (ASC corrected score),n_tumor_types_testable,n_tumor_types_significant,interaction_specificity,tumor_types_significant
BRAF,NRAS,MUTATION MUTATION,0.09,0.03,519,190,0.03,ME,TRUE,4.67,3,2,multiple_tumor_types,"skcm,thca"
FLT3,NPM1,MUTATION MUTATION,0.01,0.01,76,51,0.52,CO,TRUE,4.57,1,1,tumor_type_specific,aml
DNMT3A,NPM1,MUTATION MUTATION,0.01,0.01,63,51,0.56,CO,TRUE,3.89,1,1,tumor_type_specific,aml
PBRM1,VHL,MUTATION MUTATION,0.03,0.03,196,178,0.52,CO,TRUE,3.06,1,0,not_detectable,
EGFR,AMP.7.55245364.55247588,MUTATION CNA_AMP,0.02,0.05,95,292,0.58,CO,TRUE,2.15,3,2,multiple_tumor_types,"gbm,luad"
ACVR2A,TGFBR2,MUTATION MUTATION,0.01,0.01,63,58,0.51,CO,TRUE,1.96,1,1,tumor_type_specific,crc
FGFR3,STAG2,MUTATION MUTATION,0.01,0.01,42,79,0.39,CO,TRUE,1.89,1,1,tumor_type_specific,blca
BRAF,KRAS,MUTATION MUTATION,0.09,0.07,519,406,0.16,ME,TRUE,1.50,4,2,multiple_tumor_types,"crc,luad"
RB1,DEL.9.21186568.28981526,MUTATION CNA_DEL,0.03,0.12,173,728,0.04,ME,TRUE,1.50,11,9,multiple_tumor_types,"blca,esca,gbm,lihc,luad,lusc,ov,skcm,stad"
FGFR3,KDM6A,MUTATION MUTATION,0.01,0.02,42,100,0.37,CO,TRUE,1.34,1,1,tumor_type_specific,blca
KEAP1,STK11,MUTATION MUTATION,0.01,0.01,35,46,0.33,CO,TRUE,1.26,1,1,tumor_type_specific,luad
IDH1,IDH2,MUTATION MUTATION,0.05,0.01,281,44,0.03,ME,TRUE,1.20,2,1,tumor_type_specific,lgg
CDKN2A,DEL.9.21186568.28981526,MUTATION CNA_DEL,0.03,0.12,164,728,0.06,ME,TRUE,1.20,7,6,multiple_tumor_types,"blca,esca,hnsc,luad,lusc,skcm"
RPL22,ZC3H18,MUTATION MUTATION,0.01,0.01,58,49,0.44,CO,TRUE,1.19,1,1,tumor_type_specific,crc
PBRM1,SETD2,MUTATION MUTATION,0.03,0.02,196,117,0.40,CO,TRUE,1.17,4,1,tumor_type_specific,kirc
CD58,RNF43,MUTATION MUTATION,0.00,0.02,21,103,0.71,CO,TRUE,1.11,2,1,tumor_type_specific,crc
AMP.1.10876600.10923563,AMP.3.50187790.50281168,CNA_AMP CNA_AMP,0.01,0.00,45,16,0.43,CO,TRUE,1.11,0,0,not_detectable,
DNMT3A,FLT3,MUTATION MUTATION,0.01,0.01,63,76,0.33,CO,FALSE,1.06,1,1,tumor_type_specific,aml
DEL.3.174575228.175759770,DEL.21.42835494.42881850,CNA_DEL CNA_DEL,0.00,0.01,9,43,0.71,CO,FALSE,1.06,0,0,not_detectable,
APC,BRAF,MUTATION MUTATION,0.07,0.09,449,519,0.30,ME,TRUE,1.02,3,1,tumor_type_specific,crc
